Name,urlwebsite,keywords,Description_French,Description,Description_cleaned
vibris,https://vibris.immo,Immobilier / SaaS / startups,La première plateforme de prévision immobilière permettant d'anticiper la plus-value d'un investissement immobilier jusqu'en 2025,The first real estate forecasting platform to anticipate the added value of an investment property until 2025,first real estat forecast platform anticip ad valu invest properti 2025
caree,https://www.caree.fr/,BtoB / e-santé / taxi,"Le premier logiciel permettant aux transporteurs de patient de gérer leur prise en charge, leur patientèle, de s’échanger des courses entre taxis et de faire leur facturation et télétransmission aux Caisses de l’Assurance-maladie ","The first software enabling patient carriers manage their care, their patient base, to exchange races between taxis and do their billing and remote transmission to the Caisses of Medicare",first softwar enabl patient carrier manag care patient base exchang race taxi bill remot transmiss caiss medicar
ma-petite-gazette,https://mapetitegazette.fr,,La première newsletter collaborative !,The first collaborative newsletter!,first collabor newslett
kickworker,https://kickworker.com,appel d'offres / e-marketing / Market Place / Site emploi,Marketplace de microservices et plateforme de freelance,Marketplace of microservices platform and freelance,marketplac microservic platform freelanc
harico,https://www.hari-co.com/,,Propose des plats 100% végétal à base de légumineuses françaises et bio.,Offers 100% vegetable dishes with French beans and organic.,offer 100 veget dish french bean organ
neural-decision,https://neural-decision.com/,Business Intelligence / Informatique / predictif / Predictive Analytics,Nous créons des solutions de BI et intelligence artificielle pour PME,We create solutions for BI and artificial intelligence for SMEs,creat solut bi artifici intellig sme
its-acoustique,https://www.its-acoustique.fr/fr/preservation-environnement-sonore.html,BTP / Ingénierie Acoustique / Santé sécurité au travail / Son,ITS Acoustique met en relation les experts de l'acoustique avec les entreprises qui souhaitent agir pour la protection contre le bruit. La préservation de l'environnement sonore est notre priorité.,ITS Acoustic connects experts with sound companies that wish to take action to protect against noise. The preservation of the sound environment is our priority.,acoust connect expert sound compani wish take action protect nois preserv sound environ prioriti
parcoor,https://parcoor.com/,big data / BtoB / innovation / Predictive Analytics / startups,"L'intelligence artificielle (machine learning, deep learning) a fait des progrès fulgurants au cours de ces dernières années. Cependant, ces progrès restent encore confinés aux laboratoires et aux très grandes entreprises pouvant employer des équipes dat ","Artificial intelligence (machine learning, deep learning) has made rapid progress in recent years. However, these advances remain confined to laboratories and very large companies can employ teams dat",artifici intellig machin learn deep learn made rapid progress recent year howev advanc remain confin laboratori larg compani employ team dat
sutunam,http://www.sutunam.com,application / Application eCommerce / Application mobile / art digital / creation de siteweb / développement web / Innovation Digitale / Web development,"Créateurs d’expériences digitales et de solutions Open Source. Nous avons reçus de nombreux prix et awwwards, synonymes de plus de 10 ans d’excellence! Application/eCommerce/PWA Magento Vue Storefront Sylius Symfony development company! ",Creators of digital experiences and Open Source solutions. We have received many awards and awwwards synonymous with over 10 years of excellence! Application / eCommerce / Magento PWA View Storefront Sylius Symfony Development Company!,creator digit experi open sourc solut receiv mani award awwward synonym 10 year excel applic ecommerc magento pwa view storefront syliu symfoni develop compani
upgrade,https://agence-upgrade.fr,Application eCommerce / B2B / creation de siteweb / cybersecurité / développement web / digital / E-commerce / e-marketing / internet / web,Upgrade est une agence web certifiée par Google,Upgrade is a certified web agency by Google,upgrad certifi web agenc googl
tizu,http://www.tizu.fr,Economie circulaire / recyclage,Marque francaise de mobilier upcyclé,French furniture brand upcycle,french furnitur brand upcycl
marketpartscom,http://MARKETPARTS.COM,,Développe une plateforme B2B dédiée aux fabricants et aux distributeurs de pièces automobiles,Developing a B2B platform for manufacturers and auto parts distributors,develop b2b platform manufactur auto part distributor
vos-entrainements,https://vosentrainements.com/,Accompagnement / coaching,Propose des programmes d'entrainement adaptés à votre niveau ainsi qu'une plateforme de téléconsultation adaptée à vos besoins.,Offers training programs tailored to your level and a teleconsultation platform for your needs.,offer train program tailor level teleconsult platform need
gestia-solidaire,http://www.gestia-solidaire.com,droit / finance / Immobilier,GESTIA Solidaire est une agence immobilière spécialisée en immobilier responsable qui accompagne les propriétaires à donner du sens à leur investissement en le transformant en location abordable ou en réalisant un investissement locatif responsable,Gestia Solidaire is a specialized real estate agency in responsible property owners that comes to make sense of their investment by turning it into affordable rental or conducting a rental investment manager,gestia solidair special real estat agenc respons properti owner come make sen invest turn afford rental conduct rental invest manag
artoche,http://www.artoche.fr,logiciel,Le meilleur logiciel de devis pour les artisans du bâtiment,The best quote of software for building craftsmen,best quot softwar build craftsman
le-bon-gustave,https://lebongustave.com/,,"Application qui vous permet de retrouver et commander vos vins coups de cœurs, dégustés au restaurant ou chez des amis. ",Application that allows you to find and order your wines shots hearts enjoyed in the restaurant or at friends.,applic allow find order wine shot heart enjoy restaur friend
unipret,https://www.unipret.com/,,Le spécialiste du regroupement de crédits,Specialist loan consolidation,specialist loan consolid
toporder,http://toporder.fr,E-commerce / logiciel / logiciel de caisse,"Solution 360°, Toporder vous propose une caisse enregistreuse tactile sur iPad spécialisé dans les commerces de proximité. Réel écosystème, la caisse a été conçue pour s’adapter à votre métier. ","Solution 360 ° Toporder offers a touchscreen cash register iPad specializing in shops. Real ecosystem, the fund is designed to fit your business.",solut 360 ° topord offer touchscreen cash regist ipad special shop real ecosystem fund design fit busi
braderiepro,http://www.braderie.pro,artisan / B2B / Economie circulaire / E-commerce / Market Place,Le premier site de vente et d'achat de matériels du bâtiment entre professionnels.,The first site of sale and purchase of building materials between professionals.,first site sale purchas build materi profession
helpsy,https://www.helpsy.io,internet / psychologie / psychothérapie,"La première plateforme de soin psychologique délivrant une aide 24h/24 et 7j/7 toute l'année, même les jours fériés :) ","The first psychological care platform delivering assistance 24h / 24 and 7/7 throughout the year, even holidays :)",first psycholog care platform deliv assist 24h 24 7/7 throughout year even holiday
planete-campings,https://planete-campings.fr/,camping / Tourisme / Voyage,Plateforme française permettant de trouver le meilleur camping pour ses vacances. Nous avons la plus grande base de données de campings en France.,French platform to find the best camping holiday. We have the largest base of data campsites in France.,french platform find best camp holiday largest base data campsit franc
mission-rgpd,http://www.mission-rgpd.com,LegalTech,La plateforme logicielle collaborative accompagne les DPO et département juridique et propulse les cabinets d'avocats et cabinets de conseil.,Collaborative software platform supports the DPO and legal department and propels law firms and consulting firms.,collabor softwar platform support dpo legal depart propel law firm consult firm
ener-pacte,http://www.ener-pacte.fr/,,S'adresse aux propriétaires de panneaux photovoltaïques non professionnels en leur proposant de pérenniser et sécuriser leurs parcs.,Is for non-professional PV owners by offering to extend and secure their parks.,non-profession pv owner offer extend secur park
cessez-le-feu,https://cessezlefeu.com/,,La première plateforme en ligne dédiée à la médiation collective.,The first online platform for collective mediation.,first onlin platform collect mediat
braintogain,https://braintogain.fr/,argent / jeu / jeux vidéo,Plateforme de jeux d'esprits et d'énigmes mettant en confrontation des joueurs qui parient de l'argent sur leur intelligence.,Platform games and puzzles minds confrontation involving players who bet money on their intelligence.,platform game puzzl mind confront involv player bet money intellig
agripousse-0,http://www.agripousse.pro,Accélérateur / Economie circulaire / produits gourmands,"Pateforme innovante, éthique et collaborative de mise en relation entre les professionnels de l'alimentaire. ","Pateforme innovative, ethical and collaborative matchmaking between food professionals.",pateform innov ethic collabor matchmak food profession
petcare-family,https://www.petcare-family.com/,animaux de compagnie,Assurances pour chien et chat,Cat and Dog Insurance,cat dog insur
containous,https://containo.us/,,Développe des solutions réseaux open-source,Develops open-source network solutions,develop open-sourc network solut
money-angel,https://money-angel.com,finance,Développe le premier score de santé financière de France.,Develops the first financial health score France.,develop first financi health score franc
la-ferme-des-animaux,https://www.lafermedesanimaux.com/,animaux de compagnie,Votre animalerie en ligne Premium,Your Premium Online pet store,premium onlin pet store
maela,http://www.maela.fr,e-santé / santé,"Propose des solutions de suivi médical connectées, destinées aux établissements de santé et à leurs équipes médicales. ",Offers connected medical monitoring solutions for healthcare institutions and their medical teams.,offer connect medic monitor solut healthcar institut medic team
mon-bel-appart,https://www.monbelappart.com/,Immobilier,Spécialisée dans la gestion locative de biens meublés à Lyon et prochainement dans toutes les grandes villes françaises.,Specializing in property management furnished property in Lyon and soon in all major French cities.,special properti manag furnish properti lyon soon major french citi
choose-your-box,https://www.chooseyourbox.co/,Abonnement / beauté / box / cadeau / carte cadeau / coffret cadeau / Idées cadeaux / plateforme / vin,"Première plateforme d'abonnement qui permet de changer de box chaque mois en 1 clic, sans engagement ! ","First subscription platform that allows changing of boxes each month with 1 click, without obligation!",first subscript platform allow chang box month 1 click without oblig
upowa,https://www.upowa.energy/,,"Développe, déploie et maintient opérationnelles des solutions innovantes d'électrification rurale, propres et abordables, adaptées aux communautés africaines déconnectées du réseau électrique. ","Develops, deploys and maintains operational innovative solutions for rural electrification, clean and affordable, adapted to African communities disconnected from the mains.",develop deploy maintain oper innov solut rural electrif clean afford adapt african commun disconnect main
cascade8,http://www.cascade8.com,Application mobile / cinema / media / paiement,"Cascade8 comes straight from the experience of the film production and financing company Logical Pictures. Cascade8 develops a new technological ecosystem for the cinema industry, aiming at solving bottlenecks of each step. ","Cascade8 comes straight from the experience of the Film Production and financing company Logical Pictures. Cascade8 Develops a new technological ecosystem for the cinema industry, aiming at solving bottlenecks of Each Step.",cascade8 come straight experi film product financ compani logic pictur cascade8 develop new technolog ecosystem cinema industri aim solv bottleneck step
araxxe,https://www.araxxe.com/fr/,,Opère des services de vérification de factures et de détection de fraudes pour les opérateurs télécom.,Operates invoice audit and fraud detection for telecom operators.,oper invoic audit fraud detect telecom oper
travelassistio,http://www.travelassist.io,guide / Voyage,"Assistant personnel connecté de voyage H24, Le guide de voyage conversationnel, via messagerie instantanée Service humain, augmenté par la technologie ","Personal Assistant connected H24 trip Conversational travel guide, via instant messaging human services, increased technology",person assist connect h24 trip convers travel guid via instant messag human servic increas technolog
deeplink-medical,https://www.deeplink-medical.com/,,Editeur de logiciels de médecine et télémédecine.,medical software publisher and telemedicine.,medic softwar publish telemedicin
vetbiobank,https://www.vetbiobank.com/,,1er laboratoire français de médecine régénérative vétérinaire.,1 Veterinary Regenerative Medicine French laboratory.,1 veterinari regen medicin french laboratori
alpinov-x,https://alpinovx.com/,,"Développe Snowfarm XS, un enneigeur non météo-dépendant qui permettra d'assurer un enneigement optimal toute la saison en maîtrisant les coûts de production des stations. ","Develops Snowfarm XS, a non-weather-dependent snow gun that will ensure optimal snow conditions throughout the season by controlling production costs of the stations.",develop snowfarm x non-weather-depend snow gun ensur optim snow condit throughout season control product cost station
envisport,https://www.envisport.fr/,Activités et Loisirs / bien-être / communauté sportive / Faites du sport / santé / SportTech,Le service sport et bien-être qui donne envie à tous vos collaborateurs d'être en forme,Sport service and welfare that makes you want all your employees to be fit,sport servic welfar make want employe fit
laclaree,http://www.laclaree-vision.com/,,Développe une paire de lunettes adaptatives pour la presbytie.,Develops a pair of adaptive spectacles for presbyopia.,develop pair adapt spectacl presbyopia
iexec,http://iex.ec,3D / API / application / assurance / Blockchain / Bpifrance / cloud / FinTech / internet / technologie,La première place de marché décentralisée pour la ressource informatique,The first decentralized marketplace for IT resource,first decentr marketplac resourc
lynkbooster,https://lynkbooster.com,Android / Application eCommerce / Application mobile / artisan / BtoB / développement web / Livraison à domicile / RH / vtc,"Spécialiste du développement de plateformes globales web et mobile B2B / B2C de services, mise en relation, livraison, prise de rdv ","Development specialist web and mobile platforms global B2B / B2C services, contacts, delivery, making appointments",develop specialist web mobil platform global b2b b2c servic contact deliveri make appoint
wepeaks,http://www.wepeaks.com,Activités et Loisirs / communauté sportive,L'expérience sportive dans des lieux d'exceptions,The sporting experience in places of exceptions,sport experi place except
superpictor,http://www.superpictor.com,Abonnement / art digital / BtoB / innovation / Services Professionnels,Solution révolutionnaire qui permet de faciliter toutes les opérations graphiques des professionnels de l’objet et textile publicitaire,revolutionary solution that facilitates all operations graphics professionals the object and textile advertising,revolutionari solut facilit oper graphic profession object textil advertis
am-consulting-0,https://anthonymabille.fr/,Accompagnement / B2B / conseil / services informatiques,"AM Consulting est un cabinet de conseil informatique indépendant, basé à Lyon, proposant un accompagnement sur mesure dans tous vos besoins en transformation digitale. ","AM Consulting is an independent IT consulting firm based in Lyon, offering tailored support in all your needs in digital transformation.",consult independ consult firm base lyon offer tailor support need digit transform
signitic,https://www.signitic.fr,Adtech / B2B / email,Centralisez les signatures e-mail de votre entreprise,Centralize your corporate email signatures,central corpor email signatur
coach2store,https://coach2store.fr/,plateforme,Le booster de business des coachs sportifs !,The business boost sports coaches!,busi boost sport coach
jobypepper,https://www.jobypepper.com/,,Communauté de 30 000 travailleurs en recherche de compléments de revenu partout en France.,Community 30 000 workers in search of income supplements throughout France.,commun 30 000 worker search incom supplement throughout franc
artinove-0,https://www.artinove.fr/,Application mobile / Business / comptabilite / développement d'entreprise / entrepreneurs,"Logiciel de facturation électronique pour les TPE, PME et artisans ","electronic billing software for SOHO, SMEs and craftsmen",electron bill softwar soho sme craftsman
jibiscus-boisson-naturelle-la-fleur-dhibiscus,https://www.jibiscus.fr/,,Produit et commercialise la boisson JIBISCUS,Produces and sells the beverage JIBISCUS,produc sell beverag jibiscu
awezoome,https://www.awezoome.com/,Activités et Loisirs / guide,Guide des zoos et aquariums de France,zoos and aquariums of France Guide,zoo aquarium franc guid
dood,https://www.dood.company/,Application eCommerce / B2B / boulangerie / commander / digital / E-commerce / Food Tech / Food truck / restauration rapide / website," Dood investit le monde de la FoodTech en éditant la 1re plate-forme communautaire qui digitalise le commerce de proximité sur le secteur de la restauration à emporter avec boutique en ligne en click&collect sur site web, appli et réseaux sociaux. "," Dood invests the world of FoodTech editing the 1st platform that digitizes Community trade near the restaurant industry to take with online store click & collect on website, app and social networks.",dood invest world foodtech edit 1st platform digit commun trade near restaur industri take onlin store click collect websit app social network
mypriceco,https://myprice.co,Application eCommerce / Business Intelligence / E-commerce / e-marketing,Donne l’opportunité de proposer votre prix pour le produit que vous souhaitez.,Give the opportunity to offer your price for the product you want.,give opportun offer price product want
speakingkong,https://www.speakingkong.com,langue,Révolutionner l'apprentissage oral des langues vivantes via un service Web novateur.,Revolutionizing spoken foreign language learning via an innovative web service.,revolution spoken foreign languag learn via innov web servic
waster,http://www.waster.fr,environnemental,"Avec la plateforme collaborative Waster, plus besoin de vous déplacer, en trois cliques, vous trouverez un voisin qui transportera, à votre place, vos déchets en déchèterie. ","With the collaborative platform Waster, no need to move in three clicks, you will find a neighbor who carry in your place, your waste recycling center.",collabor platform waster need move three click find neighbor carri place wast recycl center
winbids,https://www.winbids.fr,appel d'offres / BtoB / conseil / expert / Financement / innovation / Market Place / plateforme,Marketplace de consultants de cabinets de conseil en innovation. Winbids accompagne les entreprises de l'identification du besoin jusqu'à la sélection du bon consultant,Marketplace advisory consulting firms in innovation. Winbids assists companies in identifying the need to selecting the right consultant,marketplac advisori consult firm innov winbid assist compani identifi need select right consult
plusse,https://plusse.co/,colocation / Gestion / Immobilier / Location,Nos technologies innovantes nous permettent de proposer plus de services aux propriétaires et locataires. Transformons l’immobilier d’aujourd’hui ensemble.,Our innovative technologies enable us to offer more services to landlords and tenants. Transform property today together.,innov technolog enabl u offer servic landlord tenant transform properti today togeth
keranova,http://www.keranova.fr/,,Start-up évoluant dans le domaine des technologies médicales innovantes qui conçoit et développe des équipements chirurgicaux de bloc opératoire.,Start-up operating in the field of medical innovative technologies that designs and develops surgical operating room equipment.,start-up oper field medic innov technolog design develop surgic oper room equip
neety-0,http://neety.email,Numérique au service de l'environnement / productivité / SaaS,La solution SaaS de dépollution de votre boîte mail,The SaaS solution cleanup your mailbox,saa solut cleanup mailbox
digistone,https://www.digistone.fr/,Accompagnement / Centre de formation / conseil / développement web / digital / french tech / Innovation Digitale / Services Professionnels / web,Accompagnement indépendant à la transformation digitale,Independent Accompanying the digital transformation,independ accompani digit transform
raiseyourbiz,https://raiseyour.biz/,Accélérateur / Accompagnement / BtoB / Communauté / Crowdsourcing / développement d'entreprise / entrepreneuriat / entrepreneurs / offre commerciale / startups,La plateforme d'apport d'affaires pour startups,The contribution of business platform for startups,contribut busi platform startup
asap,https://getmyasap.com/,art / art digital / cadeau / création / design / E-commerce / entrepreneuriat / identités numériques / social / startups,Studio de création de portraits personnalisés et illustrés (100% réalisés à la main),Studio authoring custom portraits and illustrated (100% hand-made),studio author custom portrait illustr 100 hand-mad
agoora,http://www.agoora.fr,,Le mur digital partagé,The shared digital wall,share digit wall
neety,https://neety.email,Numérique au service de l'environnement / email / productivité / SaaS,Solution Saas de dépollution de votre boîte mail,Saas Solution cleanup your mailbox,saa solut cleanup mailbox
visio-avocats,https://www.visio-avocats.com/,avocats / click-to-video / conseils juridiques / LegalTech,"La plateforme de mise en relation et de consultation en visioconférence par des avocats, pour les internautes ",The matchmaking platform and videoconferencing consultation by lawyers for users,matchmak platform videoconferenc consult lawyer user
crafters-0,https://www.crafters.fr/,atelier / digital / objet / personnalisée / textile / vetements,Accompagne ses clients dans leurs projets textiles et accessoires sur-mesure.,Supports its customers in their textile projects and customized accessories.,support custom textil project custom accessori
satisfix,https://satisfix.fr,dépannage / dépannage à domicile,Entreprise lyonnaise spécialisée dans la réparation d'appareils électroménagers à domicile.,Lyon company specializing in repair appliances at home.,lyon compani special repair applianc home
pondy-studio,https://www.pondystudio.com/,BtoB,"A travers une vision globale du design, nous développons des concepts d'identité de marques, d'objets, de mobilier et d'architectures. ","Through a global vision of design, we develop brand identity concepts, objects, furniture and architecture.",global vision design develop brand ident concept object furnitur architectur
le-village-ca-centre-est,https://levillagebyca.com/fr/village/centre-est,Accélérateur / Accompagnement / Bonnes adresses,"Soutenir et accompagner les jeunes entreprises innovantes dans une démarche d’open innovation, telle est la vocation du de l'accélérateur du Village by CA Centre-est.  ","Support and accompany innovative companies in a process of open innovation, is the vocation of the accelerator of sales by Village Center.",support accompani innov compani process open innov vocat acceler sale villag center
samesame,https://gong-aphasie.fr/,Application eCommerce,Facilitez la communication de vos proches aphasiques !,Facilitate communication aphasia your loved ones!,facilit commun aphasia love one
noshow,https://noshow.io,entrepreneuriat / Food Tech / Innovation Digitale / logiciel / restauration / Software / Software Engineering / startups / web,La suite logicielle pour restaurants et métiers de bouche,The software suite for restaurants and catering trade,softwar suit restaur cater trade
supersoignant,https://www.supersoignant.com/,emploi / job / jobbing / offres emploi / santé / Site emploi,"Mise en relation de manière directe entre des professionnels paramédicaux type infirmers, aides-soignants, auxiliaires de puériculture avec des structures de santé telles que des EHPAD, cliniques, hôpitaux ","Getting directly relationship between paramedics infirmers like professionals, caregivers, childcare assistants with health facilities such as nursing homes, clinics, hospitals",get directli relationship paramed infirm like profession caregiv childcar assist health facil nurs home clinic hospit
invisty,https://www.invisty.com,Immobilier / investissement / Location / location courte durée,Spécialiste dans l'investissement locatif clé en main.,Specialist in rental investment key in hand.,specialist rental invest key hand
la-totale,https://latotale.love,E-commerce / fashion / innovation / mode / startups,Des combis feminines qui s'ouvrent comme des bodys.,The feminine combis that open like bodysuits.,feminin combi open like bodysuit
pepitelab,https://www.pepitelab.fr,Accélérateur / Accompagnement / B2B / digital / expertise / marketing / web,Nous accompagnons la Transformation digitale des PME,We support the digital transformation of SMEs,support digit transform sme
promy,https://www.promy.fr/,big data / Blockchain / french tech / Immobilier / Market Place / OpenData / Securité,Plateforme digitale et indépendante qui permet aux propriétaires d'obtenir des informations pertinents sur leurs propriété et qui les met en relation avec plus de 300 promoteurs constructeur en moins d'une semaine.,Digital and independent platform that allows owners to get relevant information about their property and puts them in touch with over 300 developers manufacturer in less than a week.,digit independ platform allow owner get relev inform properti put touch 300 develop manufactur le week
wybe-agency,https://wybe.fr/,creation de siteweb,"Agence Web Marketing pas comme les autres. Au menu : création et refonte de sites Internet (vitrine, e-commerce, portfolio, CV...), audit et optimisation SEO (référencement naturel sur les moteurs de recherche) ","Web Marketing Agency like no other. The menu creation and redesign of websites (showcase, ecommerce, portfolio, CV ...), audit and SEO optimization (SEO on search engines)",web market agenc like menu creation redesign websit showcas ecommerc portfolio cv ... audit seo optim seo search engin
influcom,https://www.influcom.fr,internet,"Nous concevons des sites internet uniques, et nous accompagnons nos clients dans leur stratégie webmarketing. ","We create unique websites, and we support our customers in their web marketing strategy.",creat uniqu websit support custom web market strategi
lesbonstech,https://www.lesbonstech.com/,,L'agence digital nouvelle génération,The digital agency new generation,digit agenc new gener
