"QANTEV","['Finance', 'Banque, Assurance', 'Plateforme', 'réclamation', 'intelligente', 'assureurs', 'BtoB']","Plateforme de réclamation intelligente pour les assureurs augmentés"
"THE SORORITY","['Services aux particuliers', 'Application', 'Protection', 'Entraide', 'Partage', 'Femmes', 'BtoB']","Application Bienveillante de Protection, d'Entraide et de Partage entre toutes les Femmes"
"VEDETTE","['Mode, Textile, Beauté', 'upcycling', 'stocks', ""'invendus"", 'tissu', 'BtoB']","Nous donnons une seconde vie aux stocks d'invendus et aux chutes de tissu de grandes marques"
"SHARE CONFRERE","['Santé, Biotech, Chimie', 'Health Tech', 'Portail', 'téléexpertise', 'médical', 'partage', 'données', 'patients', 'BtoB']","Portail de téléexpertise médicale permettant aux médecins de partager de façon simple et sécurisée leurs patients"
"CLINITYX","['Santé, Biotech, Chimie', 'Health Tech', 'RWD', 'SNDS', 'Data Engineering', 'Data science', 'Machine Learning', 'data', 'santé', 'BtoB']","RWD, SNDS, Data Engineering, Data science et Machine Learning pour les données de santé"
"AIINTENSE","['Santé, Biotech, Chimie', 'Évaluation', 'état neurologique', 'santé', 'BtoB']","Evaluation de l'état neurologique des patients"
"MALLE D'AVENTURE","['Voyage, Hébergement', 'livraison', 'box', 'culture', 'aventure', 'BtoC']","Première box culturelle pour les aventuriers"
"AFLYPE","['Services aux particuliers', ""Aide à l'achat"", 'Plateforme', 'livraison', 'achats', 'particuliers', 'BtoC']","Plateforme de livraison à domicile d'achats entre particuliers"
"MONKEY SCRIBE","['SSII & NTIC', 'Service', 'transcription', 'automatique', 'conversion', 'contenu', 'audio', 'BtoC']","Service de transcription automatique permettant de convertir le contenu de vos fichiers audio et de vos vidéos en texte"
"COW GESTION","['Finance', 'Financement', 'Solution', 'financement', 'élevage', 'bovin', 'BtoB']","Solution de financement pour votre élevage bovin"
"L'HORLUXERIE","['Mode, Textile, Beauté', 'Accessoires', 'service', 'location', 'montres', 'luxe', 'BtoC']","Premier service de location de montres de luxe"
"BACKACIA","['Cleantech, Energie', 'Recyclage', 'marketplace', 'réemploi', 'recrutement', 'BtoC']","La marketplace du réemploi"
"EMERAUDE ESCAPE","['Services aux entreprises', 'RH', 'Spécialiste', 'Escape Game', 'entreprise', 'BtoB']","Spécialiste de l'Escape Game en entreprise"
"EARS 360","['Santé, Biotech, Chimie', 'coton tige', 'écofriendly', 'oreille', 'BtoC']","Le Coton Tige Réutilisable"
"AYCOO","['Education, Apprentissage', 'agent conversationnel', 'intelligence artificielle', 'partage', 'connaissances', 'BtoB']","Former votre propre agent conversationnel (IA) pour faire briller vos connaissances"
"LYBOX","['Immobilier, BTP, Architecture', 'Immobilier', 'Accélérateur', 'extension', 'recherche', 'immobilier', 'BtoC']","Accélérateur de recherche immobilière"
"KIRAE","['Education, Apprentissage', 'jeu vidéo', 'formation', 'skills', 'gaming', 'BtoB']","Le jeu vidéo au service de vos soft skills"
"Apollo","['Art, Culture, Loisirs, Sport', 'Musique', 'plateforme', 'studio', 'musique', 'BtoB', 'BtoC', 'Mastering', 'Mixing', 'En ligne', 'Artiste']","La nouvelle plateforme mondiale pour les propriétaires de studios et les artistes !"
"OH KEY","['Santé, Biotech, Chimie', 'Pharmaceutique', 'Clé', 'hygiénique', 'propagation', 'Covid-19', 'BtoC']","Clé hygiénique pour lutter contre la propagation de la Covid-19"
"HANDSOME","['Finance', 'Banque, Assurance', 'handicap', 'gestion', 'banque', 'BtoB']","Permettre aux personnes en situation de handicap de gérer tout leur quotidien bancaire"
"ELZEARD","['SSII & NTIC', 'application', 'maraîchère', 'jardinage', 'culture', 'plantation', 'BtoC', 'BtoB']","Le Compagnon du maraîcher"
"ASKING FLANKLIN","['SSII & NTIC', 'Curation web, Moteur de recherche', 'outil', 'recherche', 'questions', 'mots-clés', 'BtoB']","Outil Français de recherche de questions et mots-clés basés sur les requêtes Google"
"REACHMAKER","['Services aux entreprises', 'Services (Autres)', 'rencontre', 'matching', 'business', 'plateforme', 'partenariat', 'BtoB']","La plateforme du partenariat"
"NEED SUN","['Mode, Textile, Beauté', 'Cosmétique', 'box', 'eshop', 'cosmétiques', 'naturel', 'BtoC']","Eshop/BOX de produits naturels et biologiques"
"LES PANIERS COLIBRIS","['Restauration, Cuisine, Alimentation', 'Produits frais', 'Paniers', 'Fruits', 'Légumes', 'Bio', 'Français', 'Écologie', 'Environnement', 'e-commerce', 'service', 'livraison', 'BtoB', 'BtoC']","Livraison de paniers de fruits et légumes français et BIO"
"UNIFAI","['Services aux entreprises', 'Data', 'IA', 'Data quality', 'Retail', 'Ecommerce', 'BtoB']","Intelligence Artificielle spécialisée dans les travaux de nettoyage et d'enrichissement de données"
"FULL STREET","['Services aux entreprises', 'assistant', 'digital', 'global', 'création d’entreprise', 'BtoB']","L’assistant digital global de la création d’entreprise"
"SKAIROS","['Santé, Biotech, Chimie', 'Health Tech', 'healthtech', 'simulation', 'numérique', 'médical', 'BtoB']","Entreprise de simulation numérique à des fins médicales"
"PREDISURGE","['Santé, Biotech, Chimie', 'Health Tech', 'Solutions', 'numériques', 'prédictives', 'interventions', 'endovasculaires', 'BtoB']","Solutions numériques prédictives pour les interventions endovasculaires"
"INTRADYS","['Santé, Biotech, Chimie', 'Health Tech', 'Logiciel', 'neuro-radiologie', 'interventionnelle', 'BtoB']","Logiciel pour la neuro-radiologie interventionnelle"
"MY KORNER SHOP","['Finance', 'Investissement, Trading', 'Investissement', 'commerce', 'proximité', 'local', 'BtoB']","Investissez dans les commerces de votre quartier"
"TRENDETHICS","['Services aux entreprises', 'Productivité', 'Soutient', 'développement', 'économie', 'minorités ethniques', 'Asie', 'BtoB']","Soutenir le développement économique des minorités ethniques en Asie du Sud Est"
"KALISPORT","['Art, Culture, Loisirs, Sport', 'Sport', 'Plateforme', 'gestion', 'clubs', 'sport', 'associations', 'BtoB']","Plateforme de gestion tout-en-un pour les clubs de sport et associations sportives"
"TOUCAN SPACE","['Services aux particuliers', 'envoi', 'objets', 'espace', 'station ISS', 'BtoC']","Envoyez vos objets vers l'espace"
"DEEPREACH","['Services aux entreprises', 'Marketing, communication', 'plateforme SaaS', 'communication', 'marketing', 'digital', 'local', 'BtoB']","La tech qui booste votre com? locale"
"PHARMEDICOM","['Santé, Biotech, Chimie', 'Pharmaceutique', 'Marketplace', 'produits médicaux', 'pharmacies', 'BtoB']","Marketplace de produits médicaux à destination des pharmacies"
"EMISSIVE","['Electronique & Composants', 'Réalité Augmentée, Réalité Virtuelle', 'réalité augmentée', 'divertissement', 'culturel', 'immersif', 'BtoB']","La révolution en matière de divertissement culturel immersif"
"SHAREID","['SSII & NTIC', 'Sécurité', 'identité digitale', 'cyber-sécurité', 'Authentification', 'Computer Vision', 'BtoB']","La confiance numérique à travers l'identité digitale"
"LIBRAIRIES INDEPENDANTES","['Art, Culture, Loisirs, Sport', 'Littérature', 'Moteur de recherche', 'livres', 'littérature', 'libraires', 'BtoC']","Moteur de recherche de livres en France"
"PETITSCOMMERCES","['Services aux particuliers', ""Aide à l'achat"", 'commerces', 'locaux', 'découvertes', 'BtoC']","(Re)découvrez les commerces de proximité et devenez consomacteur"
"MAMIE PAULETTE","['SSII & NTIC', 'MarketPlace', 'objets', 'accessoires', 'achat', 'livraison', 'Made In France', 'BtoC']","MarketPlace dédiée au Made In France"
"CARDIEM","['Mode, Textile, Beauté', 'Accessoires', 'cardiems', 'accessoire', 'porte-carte', 'BtoC']","Cardiems fabriqués par des artisans français pour afficher votre personnalité avec style"
"INFINYTECH","['Santé, Biotech, Chimie', 'Health Tech', 'Moteur physique', 'applications scientifiques', 'healthtech', 'BtoB']","Moteur physique pour les applications scientifiques et commerciales critiques"
"ORAL PIX","['Santé, Biotech, Chimie', 'Health Tech', 'photo', 'dentaire', 'diagnostic', 'BtoB']","Redressez et améliorez vos photos dentaires en un clic"
"SPEED BARBERS","['Mode, Textile, Beauté', 'coiffeur', 'coupe', 'barber', 'mise en relation', 'BtoC']","Les meilleurs barbers à proximité"
"WUP NETWORKING","['Services aux entreprises', 'Marketing, communication', 'application', 'emplois', 'métiers', 'vente directe', 'marketing relationnel', 'BtoB']","La première application créatrice d'emplois dans les métiers de la vente directe et du marketing relationnel"
"CAPS ME","['Restauration, Cuisine, Alimentation', 'rechargeur', 'capsules', 'café', 'réutilisables', 'BtoC']","Le 1er rechargeur de capsules de café réutilisables"
"DABBA CONSIGNE","['Cleantech, Energie', 'Recyclage', 'Contenants', 'réutilisables', 'recyclage', 'BtoC']","Contenants réutilisables"
"ZINGR","['Art, Culture, Loisirs, Sport', 'Rencontre', 'Discussion', 'rencontre', 'amis', 'BtoC']","Discutez avec des personnes à proximité et rencontrez de nouvelles personnes"
"SNACKEET","['Services aux entreprises', 'Marketing, communication', 'saas', 'interactive stories', 'online quiz', 'short stories', 'snackable content', 'online surveys', 'online polls', 'video stories', 'image stories', 'marketing', 'histoires interactives', 'quiz en ligne', 'nouvelles', 'contenu à grignoter', 'enquêtes en ligne', 'sondages en ligne', 'histoires vidéo', ""histoires d'images"", 'marketing', 'BtoC']","Vous aide à mieux interagir avec votre communauté et vos clients"
"YES PROVENCE","['Voyage, Hébergement', 'Location de voiture vintage', '2cv', 'Méhari', 'location', 'BtoC']","Location de voitures vintage en Provence"
"AMAROB","['Santé, Biotech, Chimie', 'Health Tech', 'Medical', 'IT-Services', 'Microfabrication', 'BtoB']","Startup de produits chirurgicaux avec une compétence de base en microrobotique"
"OLYSTIC","['Services aux entreprises', 'RH', 'Solution digitale', 'Data Intelligence', 'Ressources humaines', 'BtoB']","Solution digitale de Data Intelligence dédiés aux Ressources humaines au travail"
"NOUREE","['Restauration, Cuisine, Alimentation', 'Boissons non alcoolisées', 'chicorée', 'végétale', 'révolution', 'BtoC']","La chicorée revisitée, Zéro excitant, 100% végétale"
"MEDICAMENTUM","['Santé, Biotech, Chimie', 'Pharmaceutique', 'médicaments', 'pharmacie', 'notice', 'BtoB']","La notice ludique et interactive"
"BLIK","['Services aux entreprises', 'Marketing, communication', 'affichage', 'voiture', 'marketing', 'BtoB']","Le renouveau de l'affichage mobile urbain"
"WINGZY","['Services aux entreprises', 'Productivité', 'temps', 'collaborateurs', 'partage', 'questions', 'compétences', 'BtoB']","Relie les collaborateurs pour que ceux qui ont des questions trouvent vite ceux qui ont les réponses"
"ISITU","['Services aux entreprises', 'Conseil', 'gestion', 'entreprise', 'finance', 'BtoB']","Simplifiez la gestion financière de votre entreprise"
"SYSLOR","['Electronique & Composants', 'Réalité Augmentée, Réalité Virtuelle', 'Visualisation', 'réalité augmentée', 'plan 3D', 'vidéo', 'réseaux souterrains', 'construction', 'BtoB']","Visualisation en réalité augmentée et plan 3D certifié à partir d'une vidéo pour les réseaux souterrains et la construction"
"ACUSURGICAL","['Santé, Biotech, Chimie', 'Health Tech', 'robot', 'chirurgie', 'rétinien', 'BtoB']","Un robot pour la chirurgie rétinienne de demain"
"ABYS MEDICAL","['Santé, Biotech, Chimie', 'Dispositifs', 'digital', 'chirurgie orthopédique', 'traumatologique', 'BtoB']","Dispositifs médicaux et digitaux innovants pour la chirurgie orthopédique et traumatologique"
"FINREKA","['Finance', 'Financement', 'moteur de recherche', 'logique', 'financement', 'institutionnel', 'BtoB']","Toute la logique du financement institutionnel développée en une solution unique"
"KITIMIMI","['Education, Apprentissage', 'livre', 'enfant', 'éveil', 'BtoC']","Livre d'éveil en tissu 100% personnalisable"
"CITIZENS","['Services aux particuliers', 'plateforme', 'association', 'engagement', 'BtoC']","Une plateforme qui permet à chacun de s'engager facilement pour la cause qui lui tient à coeur au niveau local"
"NOLIO","['Art, Culture, Loisirs, Sport', 'Sport', 'Planification', 'suivi', 'entrainements', 'analyse', 'performances', 'BtoB']","Planification, suivi des entrainements et analyse des performances"
"FICHA","['Cleantech, Energie', 'Recyclage', 'solution', 'tri', 'déchets', 'collectivités', 'BtoB']","La solution de tri des déchets pour les collectivités"
"NOVELA","['Santé, Biotech, Chimie', 'Accessoires médicaux', 'Ecologie', 'Produits écologiques', 'Brosse à dents', 'Paille', 'économique', 'durable', 'BtoC']","Propose des produits du quotidien écologiques et économiques"
"ELLIPSE INDUSTRIES","['Transport & Logistique', 'Moto, Vélo', 'transport', 'vélo', 'ville', 'balade', 'BtoC']","Un vélo à votre usage, l'esprit libre"
"KSHUTTLE","['Finance', 'solutions', 'performance', 'finance', 'BtoB']","Le spécialiste des solutions de performance financière et extra-financière"
"PANDACOLA","['Services aux entreprises', 'Marketing, communication', 'custom', 'marketing', 'publicité', 'personnaliser', 'BtoB']","Personnaliser vos objets publicitaires, Goodies et Cadeaux"
"NUMA HEALTH","['Santé, Biotech, Chimie', 'Health Tech', 'santé', 'healthtech', 'diagnostic', 'checkup', 'BtoC']","Approche globale, préventive, naturelle de ma santé"
"1FOOD1ME","['Services aux particuliers', 'nutrition', 'biologie', 'besoin', 'aliments', 'BtoC']","Votre nutrition personnalisée"
"POLLINATURE","['Immobilier, BTP, Architecture', 'BTP, Architecture', 'abeilles', 'maison', 'découverte', 'protection', 'BtoC']","Engagement pour les abeilles sauvages"
"JOBOOK","['Emploi, Job', 'CV', 'gratuit', 'envoi', 'RH', 'mobile', 'recrutement', 'BtoB']","CV gratuit et facile sur ton mobile"
"ESTHESIX","['Santé, Biotech, Chimie', 'Services', 'guide', 'technologie', 'autonomie', 'aveugle', 'déficients visuels', 'BtoB']","L'innovation au service des déficients visuels"
"ORTHOPUS","['Santé, Biotech, Chimie', 'Health Tech', 'aide', 'handicap', 'prothèses', 'BtoC']","Démocratiser les aides techniques aux handicaps"
"EKINNOX","['Santé, Biotech, Chimie', 'Services', 'aide', 'thérapeutes', 'patients', 'rééducation', 'BtoB']","Aider les thérapeutes et leurs patients à améliorer le parcours de rééducation"
"CROCOS GO DIGITAL","['Education, Apprentissage', 'Programmation', 'robots', 'drones', 'enfants', 'séniors', 'BtoC']","Programmation robots/drones pour les 6-15 ans"
"OMICURE","['Santé, Biotech, Chimie', 'Health Tech', 'génétique', 'thérapie', 'ADN', 'ARN', 'cancer', 'BtoB']","Trouvez la thérapie correspondant à l'ADN et à l'ARN de votre cancer"
"ZACK","['Services aux particuliers', 'seconde vie', 'produits électroniques', 'vente', 'don', 'BtoC']","Garantit la meilleure seconde vie à tous vos produits électroniques"
"OOBLOO","['SSII & NTIC', 'Curation web, Moteur de recherche', 'Moteur de recherche', 'Hashtags', 'réseau social', 'BtoC']","Moteur de recherche de Hashtags et réseau social"
"PANODYSSEY","['SSII & NTIC', 'Media', 'plateforme', 'publication', 'collaborative', 'lecture', 'BtoB']","La plateforme de publication collaborative"
"LUCINE","['Santé, Biotech, Chimie', 'Pharmaceutique', 'santé', 'douleur', 'thérapie', 'BtoB']","Pour une meilleure prise en charge de la douleur"
"KALYA","['Santé, Biotech, Chimie', 'Health Tech', 'intelligence artificielle', 'Thérapies', 'Non Médicamenteuses', 'BtoB']","La première intelligence artificielle dédiée aux Thérapies Non Médicamenteuses"
"EPIGENE LABS","['Santé, Biotech, Chimie', 'Health Tech', 'Conception', 'médicaments', 'données', 'génomiques', 'oncologie', 'BtoB']","Conception de médicaments basée sur les données génomiques pour l'oncologie de précision"
"RATEANDGO","['Services aux entreprises', 'Conseil', 'service', 'notation', 'maturité', 'pérennité', 'startup', 'BtoB']","Le service de notation pour connaitre le niveau de maturité et la pérennité de votre startup"
"LA FRANCE QUI SE MOUCHE TOT","['Mode, Textile, Beauté', 'Mouchoirs', 'tissu', 'écologiques', 'BtoC']","Mouchoirs en tissu écologiques et de fabrication française"
"VOCALEO","['Services aux particuliers', 'Services à domicile', 'Application', 'mobile', 'malvoyants', 'aveugles', 'BtoC']","Application mobile à destination des malvoyants et aveugles"
"SOLAR TREE","['SSII & NTIC', 'Arbre', 'Solaire', 'Connecté', 'BtoB']","La nouvelle génération de mobilier urbain"
"ALPHANOSOS","['Santé, Biotech, Chimie', 'Pharmaceutique', 'IA', 'médicaments', 'bioactifs', 'BtoB']","Créer grâce à l?IA les médicaments et bioactifs naturels, sûrs et efficaces du 21ème siècle"
"WEDIAGNOSTIX","['Santé, Biotech, Chimie', 'Health Tech', 'lecture', 'logiciel', 'praticiens', 'radiologues', 'dentistes', 'IA', 'BtoB']","Logiciel de lecture de radiographies panoramiques dentaire en quelques secondes"
"TECHINCLIC","['Services aux particuliers', 'Services à domicile', 'Assistance', 'informatique', 'à Distance', 'aide', 'BtoC']","Assistance informatique à Domicile & à Distance"
"ENMIZONA","['SSII & NTIC', 'smartcity', 'smart city', 'centre ville', 'revitalisation', 'dynamisation', 'economie locale', 'application centre ville', 'solution digitale', 'BtoB']","Outil digital grâce auquel le terme smart city prend tout son sens"
"FOXPLAN","['Services aux entreprises', 'Productivité', 'gestion de projet', 'solution', 'saas', 'innovation', 'agilité', 'BtoB']","La solution de gestion de projets aussi efficace qu’innovante"
"PRISMEA","['Finance', 'Banque, Assurance', 'néobanque', 'compte', 'professionnels', 'BtoB']","La néobanque des professionnels réinventée par des banquiers"
"PIVR","['Services aux particuliers', 'Services à domicile', 'Réparation', 'électroménager', 'visioconférence', 'BtoC']","Réparation du gros électroménager par visioconférence"
"CURVWAY","['Art, Culture, Loisirs, Sport', 'Sport', 'planches', 'électriques', 'snowboard', 'route', 'BtoC']","Planches électriques qui permettent de retrouver les sensations du snowboard sur route"
"CORSICA MARKET ","['Services aux entreprises', 'Services (Autres)', 'marketplace', 'produits', 'Corse', 'BtoC', 'BtoB']","Marketplace dédiée à l'artisanat Corse"
"ESTIMATION APPARTEMENT PARIS","['Immobilier, BTP, Architecture', 'Immobilier', 'immobilier', 'estimation immobiliere', 'appartement', 'BtoC']","Estimation immobilière en ligne ou avec un consultant"
"PROTEKTOOL","['Services aux entreprises', 'outils', 'barrières', 'sécurité sanitaire', 'BtoB']","Les outils barrières pour votre sécurité sanitaire"
"SURGAR","['Santé, Biotech, Chimie', 'Health Tech', 'logiciel', 'réalité augmentée', 'chirurgie', 'laparoscopique', 'BtoB']","Le premier logiciel de réalité augmentée d'aide à la chirurgie laparoscopique"
"SQUAREMIND","['Santé, Biotech, Chimie', 'Health Tech', 'solution', 'disruptive', 'oncologie', 'healthtech', 'santé', 'logiciel', 'BtoB']","Développe une solution disruptive à des fins d'oncologie"
"SKIAGENICS","['Santé, Biotech, Chimie', 'Diagnostique, Analyse', 'diagnostic', 'moléculaire', 'biomarqueurs', 'BtoB']","Améliorer le diagnostic moléculaire et la découverte de biomarqueurs"
"Kingprofdedroit","['Education, Apprentissage', 'cours particulier', 'cours de droit', 'professeur de droit', 'BtoC']","Plateforme de mise en relation entre professeurs de droit et étudiants en droit en France"
"VILUSO","['Transport & Logistique', 'Moto, Vélo', 'scooter', 'électrique', 'français', 'BtoC']","Votre scooter électrique français connecté"
"ALEFA DAGO","['Voyage, Hébergement', 'guide', 'agence de voyage', 'Madagascar', 'BtoC']","Hybride entre le guide et l?agence de voyage spécialisée sur Madagascar"
"SMARTRECRUITERS","['Services aux entreprises', 'RH', 'Solution', 'Recrutement', 'Hiring Success', 'BtoB']","Solution de Recrutement conçue pour garantir votre Hiring Success"
"PANDALOC","['Immobilier, BTP, Architecture', 'Immobilier', 'loyer', 'gestion', 'locative', 'BtoB']","Simplifiez votre gestion locative"
"DOMANI","['Services aux particuliers', 'Commodité', 'location', 'hébergement', 'Alternative', 'conviviale', 'EHPAD', 'BtoC']","Alternative conviviale à l'EHPAD"
"FLIM","['Art, Culture, Loisirs, Sport', 'Cinéma', 'startup', 'movie', 'fashion', 'design', 'advertising', 'art', 'BtoC']","Le moteur de recherche intelligent animé par une I.A"
"SORTVOICES","['SSII & NTIC', 'Curation web, Moteur de recherche', 'Solution', 'écoute', 'analyse', 'web', 'médias sociaux', 'BtoB']","Solution d'écoute et d'analyse du web et des médias sociaux"
"LEXDEV","['Services aux entreprises', 'RH', 'legaltech', 'rédaction', 'contrats', 'modèles', 'RH', 'BtoB']","Rédaction automatisée de contrats et modèles RH pour start-up, PME et grande entreprise"
"BUNJI","['Services aux entreprises', 'Productivité', 'données', 'leads de vente', 'qualifiés', 'intelligence artificielle', 'BtoB']","Le service qui transforme vos données en leads de vente qualifiés, grâce à l?intelligence artificielle"
"SPARINGVISION","['Santé, Biotech, Chimie', 'Pharmaceutique', 'Médicaments', 'génomiques', 'maladies oculaires', 'BtoB']","Médicaments génomiques pour les maladies oculaires"
"MILA MILOU","['Mode, Textile, Beauté', 'Accessoires', 'chapeaux', 'féminin', 'feutre', 'BtoC']","Chapeaux féminins fabriqués en France"
"LAO CARE","['Mode, Textile, Beauté', 'Cosmétique', 'Shampoing', 'naturel', 'bio', 'BtoC']","Shampoing naturels et bio"
"PITCHOUN MEDIAS","['SSII & NTIC', 'Media', 'chaine de télévision', 'radio', 'enfants', 'parents', 'BtoC']","La chaine de télévision et la radio des enfants et des parents"
"DOQBOARD","['Santé, Biotech, Chimie', 'Health Tech', 'solution', 'études cliniques', 'médecins', 'BtoB']","La solution innovante d'études cliniques dédiée aux médecins"
"ILLICCO","['Restauration, Cuisine, Alimentation', 'Services', 'Livraison', 'produits', 'locaux', 'BtoC']","Livraison de produits locaux"
"ECOSIAG","['Immobilier, BTP, Architecture', 'BTP, Architecture', 'Solution', 'Aquaponie', 'Automatisée', 'ferme', 'urbaine', 'BtoB']","Solution d'Aquaponie Automatisée en B2B"
"FYGR","['Finance', 'Logiciel', 'gestion', 'prévision', 'trésorerie', 'BtoB']","Logiciel de gestion et prévision de trésorerie"
"SYKO STUDIO","['Education, Apprentissage', 'Studio', 'produits', 'formation', 'expérientielle', 'BtoB']","Studio conçoit et crée des produits de formation expérientielle"
"TOMOJO","['Restauration, Cuisine, Alimentation', 'croquette', 'chien', 'chat', 'insectes', 'BtoC']","La croquette pour chien et chat aux insectes"
"HUMMINK","['SSII & NTIC', 'Fabrication', 'additive', 'nanométrique', 'deeptech', 'BtoB']","Fabrication additive à l'échelle nanométrique"
"MEDINTHEPOCKET","['Santé, Biotech, Chimie', 'Health Tech', 'protocoles', 'soins', 'plateforme', 'santé', 'BtoB']","Protocoles de soins à portée de main"
"ALCOOOL","['Santé, Biotech, Chimie', 'Pharmaceutique', 'Remède', 'soulagement', 'Gueule de Bois', 'BtoC']","Remède pour soulager la Gueule de Bois"
"COCOPLANT","['Restauration, Cuisine, Alimentation', 'Boissons non alcoolisées', 'boisson', 'écocoproduits', 'naturels', 'noix de coco', 'BtoC']","Découvrez notre gamme d'écocoproduits naturels"
"GRADEUP","['Education, Apprentissage', 'plateforme', 'suivi scolaire', 'intelligence artificielle', 'BtoC']","La nouvelle plateforme de suivi scolaire sur mesure"
"POWERZ","['Education, Apprentissage', 'jeu vidéo', 'enfants', 'apprentissage', 'maths', 'BtoC']","Le premier jeu vidéo où tous les enfants du monde pourront apprendre"
"DONEO","['Mode, Textile, Beauté', 'Vêtements', 'Plateforme', 'revalorisation', 'stocks', 'entreprises', 'ventes privées', 'BtoB']","Plateforme qui revalorise les stocks dormants des entreprises au travers de ventes privées"
"OVERSOC","['SSII & NTIC', 'Sécurité', 'cybersécurité', 'réseau', 'surveillance', 'infrastructure', 'informatique', 'temps réel', 'BtoB']","Aide les experts en cybersécurité à surveiller de près leur infrastructure informatique, en temps réel"
"UBIPLUG","['Santé, Biotech, Chimie', 'Health Tech', 'Développement', 'dispositifs', 'médicaux', 'abords vasculaires', 'Néphrologie', 'BtoB']","Développement dispositifs médicaux (abords vasculaires) en Néphrologie"
"E FOR IA","['Santé, Biotech, Chimie', 'Logiciels', 'application', 'professionnels de santé', 'BtoB']","Logiciels et application à destination des professionnels de santé"
"ALGOLESKO","['Services aux entreprises', 'culture', 'Algues', 'culture', 'Bretagne', 'BtoB']","Algues de culture en Bretagne"
"CLAUDE & CO","['Mode, Textile, Beauté', 'Vêtements', 'chemise', 'col amovible', 'textile', 'BtoC']","Chemises et Cols Français"
"VER DE TERRE PRODUCTION","['Education, Apprentissage', 'Formation', 'agriculteurs', 'agroécologie', 'BtoC']","Former le plus d?agriculteurs possible à l?agroécologie et aux pratiques régénératrices"
"BEEHELP","['Services aux entreprises', 'Services (Autres)', 'Plateforme', 'entraide', 'professionnels', 'BtoB']","Plateforme d'entraide pour les professionnels"
"ART4DESIGN","['Meuble, Décoration', 'artiste', 'meubles', 'recyclage', 'BtoC']","Offre une nouvelle vie aux meubles démodés, abîmés"
"LE GRAND BICOUPE","['Restauration, Cuisine, Alimentation', 'coupe', 'pizza', 'tarte', 'accessoire', 'cuisine', 'BtoC']","Le coupe-pizza / tarte made in France"
"PARAMEDIC","['Santé, Biotech, Chimie', 'Services', 'mise en relation', 'hopitaux', 'transporteurs', 'uber', 'santé', 'BtoB']","Plateforme qui met en relation les établissements de santé avec les transporteurs sanitaires"
"MYFITSNACK","['Restauration, Cuisine, Alimentation', 'Services', 'box', 'snacks', 'sains', 'nourriture', 'livraison', 'bien-être', 'BtoC']","Une box de snacks sains à manger où et quand vous voulez"
"REPOS DIGITAL","['SSII & NTIC', 'Internet', 'suppression', 'données', 'résiliation', 'contrats', 'défunt', 'BtoC']","La gestion des réseaux sociaux et des fournisseurs d'énergies ?après décès"
"ALLOREVIEW","['Services aux entreprises', 'Productivité', 'voix', 'client', 'écoute', 'review', 'enquête', 'BtoB']","L?unique façon d?écouter la (vraie) voix de votre client"
"MANEA","['Meuble, Décoration', 'Porte douchette', 'support', 'douche', 'salle de bains', 'EHPAD', 'BtoB']","Porte douchette et support de douche innovant pour la salle de bains"
"CROWDSEC","['SSII & NTIC', 'Sécurité', 'pare-feu', 'dynamique', 'open source', 'BtoB']","Le pare-feu dynamique et open source de nouvelle génération"
"KOYEB","['SSII & NTIC', 'Cloud', 'plate-forme', 'déploiement', 'applications', 'traitement de données', 'cloud', 'BtoB']","La plate-forme la plus rapide pour déployer et exécuter des applications de traitement de données sans serveur"
